Barra,Pieza #,Longitud (mm),Desperdicio (mm)
1,1,2400,3597
2,1,2400,3597
3,1,2400,3597
4,1,1800,4197
5,1,1800,4197
6,1,1800,4197
7,1,1800,4197
8,1,1800,4197
9,1,1200,4797
10,1,1200,4797
11,1,1200,4797
12,1,1200,4797
13,1,900,5097
14,1,900,5097
15,1,900,5097
16,1,900,5097
17,1,900,5097
18,1,900,5097
19,1,600,5397
20,1,600,5397
21,1,600,5397
22,1,600,5397
23,1,600,5397
24,1,600,5397
25,1,600,5397
26,1,600,5397
27,1,300,5697
28,1,300,5697
29,1,300,5697
30,1,300,5697
31,1,300,5697
32,1,300,5697
33,1,300,5697
34,1,300,5697
35,1,300,5697
36,1,300,5697
