Lámina,Pieza,Nombre,X (mm),Y (mm),Ancho (mm),Alto (mm),Rotada,Área (m²)
1,2,Panel lateral,0,0,800,600,No,0.480000
1,4,Panel base,0,608,1200,400,No,0.480000
1,15,Travesaño,0,1012,900,180,No,0.162000
1,1,Panel lateral,804,0,800,600,No,0.480000
1,19,Separador,908,1012,300,200,No,0.060000
1,18,Separador,1204,608,300,200,No,0.060000
1,8,Repisa,1212,812,600,350,No,0.210000
1,21,Separador,1508,608,300,200,No,0.060000
1,10,Cajón frontal,1608,0,400,300,No,0.120000
1,20,Separador,1608,304,300,200,No,0.060000
1,7,Repisa,1816,812,600,350,No,0.210000
1,16,Fondo cuadrado,1912,304,500,500,No,0.250000
1,12,Cajón frontal,2012,0,400,300,No,0.120000
2,3,Panel base,0,17,1200,400,No,0.480000
2,6,Repisa,0,421,600,350,No,0.210000
2,24,Panel puerta,0,775,700,420,No,0.294000
2,22,Separador,604,421,300,200,No,0.060000
2,17,Fondo cuadrado,704,625,500,500,No,0.250000
2,14,Travesaño,1204,0,900,180,No,0.162000
2,13,Travesaño,1208,184,180,900,Sí,0.162000
2,5,Repisa,1608,608,350,600,Sí,0.210000
2,23,Panel puerta,1608,184,700,420,No,0.294000
2,9,Cajón frontal,1962,912,400,300,No,0.120000
2,11,Cajón frontal,1962,608,400,300,No,0.120000
